rating,review,helpfulness
2,광고알림 껐는데 계속 와서 지웁니다.,2
5,Good! 모바일로 더 저렴하고 합리적인 쇼핑 할 수 있어 좋아요. 이벤트도 다양해서 다양한 상품들을 볼 수 있어 만족합니다!,2
1,불편해요...?결제하려고 했는데 앱 초기화 되고 다시보니 품절이네요...ㅠㅠ 넘 짜증...,6
3,자동로그인!!! 자동로그인 기능을 없애버렸네요..웹사이트도 아니고 앱인데 매번 로그인 하려니 불편합니다 ㅠㅠㅠㅜㅜㅜㅜㅠ,4
5,사용후기 쇼핑앱덕분에쇼핑과결제또할인혜택이있어너무좋아요~~~ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 앞으도로좋은상품부탁합니다~~^^,7
5,꿀혜택 종종 파격적인 혜택을 줘서 충분히 들릴 가치가 있어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3
5,사용하기편리해요 사용하기편리해요 ㅋㅋㅋㅋㅋㅋㅎㅎㅎㅎㅎ,2
5,가장 유용한 쇼핑앱 현대 홈쇼핑앱지만 다양한 제품을 취급하고 있어서 좋아요 이벤트나 포인트도 적립했다가 쓸 수 있는 것도 좋고 편리해서 추천할만한 앱인 것 같네요^^,3
4,느림 벗 금액만족 왜 다른곳보다 느린것같죠 그렇지만 카드할인등 금액 괜찮고 믿을만한 제품만 파는것같아요,2
1,너무 느려요!!!?이렇게 느린데 어떻게 쇼핑을 하라는 건지...ㅡㅡ^ 홈화면 로딩은 수시로 안되고...OTL,0
