id,name,sic,sic_adj,fran,nbran,dome,year,gta,gts,roa,roe,opr,nir,deratio,icr,ncratio,nclratio,cratio,qratio,cashratio,tat,set,ncat,ivt,eff_inv,eff_wquip,opersurp,laborcost,finexp,dep,roa_roa,roa_nir,roa_tat,roe_roe,roe_nir,roe_tat,roe_drl,opercf,invcf,fincf,dcl,dol,dfl
2021_1,(유)아웃백스테이크하우스코리아,56123,4,1,1,2,2020,20.67,17.13,15.54,30.9,7.96,5.99,111.94,,126.27,112.01,86.35,83.05,61.58,2.59,5.15,4.32,159.01,121.72,362.7,23736.305,97524.66,-39.62,10266.46,15.54,5.99,2.59,30.9,5.99,2.59,2.119402465,32269,-20712,0,11.58817055,8.730756813,1.327281335
2021_2,(주)TS푸드앤시스템,56192,6,1,1,2,2020,-80.22,-56.42,-101.06,0,-34.6,-85.03,0,-5.48,0,0,13.64,13.52,1.02,1.19,0,1.92,12.82,-187.2,0,-2055.308,957.55,335.62,399.96,-101.06,-85.03,1.19,0,-85.03,1.19,-0.157956278,-1846,3840,-1945,-0.273197733,-0.67138098,0.406919084
2021_3,(주)공차코리아,56229,10,1,1,1,2020,14.29,-18.13,30.1,40.53,10.86,19.46,28,,82.64,77.22,216.18,166.82,118.16,1.55,2.08,2.42,19.85,45.02,1074.77,11654.018,6812.62,-165,2156.11,30.1,19.46,1.55,40.53,19.46,1.55,1.280014706,9536,2773,-7706,1.422501565,2.550165906,0.557807459
2021_4,(주)김家네,56194,8,1,2,1,2020,-0.67,4.17,0.77,1.82,0.53,0.36,134.17,1.28,128.4,125.43,80.25,74.02,26.8,2.13,5.05,3.81,48.99,31.56,68.63,137.635,3736.54,68.87,624.72,0.77,0.36,2.13,1.82,0.36,2.13,2.341672403,716,-132,-240,57.04049281,38.55940181,1.479288841
2021_5,(주)놀부,56111,1,1,2,1,2020,-35.1,-25.93,-44.69,-151.53,-7.71,-46.02,646.88,-2.66,667.97,135.03,31.29,19.21,5.31,0.97,3.29,1.07,28.33,-14.98,-34.19,-5530.132,10643.79,1478.66,4304.39,-44.69,-46.02,0.97,-151.53,-46.02,0.97,7.468771845,-935,-551,1987,-0.835423626,-4.987632862,0.167499022
2021_6,(주)닥터로빈,56123,4,1,1,1,2020,-13.25,-15.87,-10.86,-13.03,-6.56,-6.27,19.87,,90.95,88.48,169.37,153.66,123.52,1.73,2.08,2.34,46.34,39.38,565.89,-652.664,1248.71,-20.96,270.34,-10.86,-6.27,1.73,-13.03,-6.27,1.73,1.198685031,185,-36,-59,-3.9725707,-3.796356778,1.046416586
2021_7,(주)더본코리아,56300,11,1,2,1,2020,20.69,12.17,6.23,10.84,6.3,5.56,77.72,11.14,128.79,106.61,85.97,77.63,55.08,1.12,1.95,1.56,44.91,35.15,81.71,8327.362,27808.61,156.84,9164.44,6.23,5.56,1.12,10.84,5.56,1.12,1.77723562,12982,-7052,-6642,8.571165109,7.572079378,1.131943378
2021_8,(주)동바오,56121,2,2,1,1,2020,2.68,-75.64,-5.84,0,-70.91,-128.31,0,-1.48,0,0,63.23,63.23,51.46,0.05,0,0.05,26.98,0.13,0.14,-1028.021,540.27,413.18,37.56,-5.84,-128.31,0.05,0,-128.31,0.05,-22.21806639,-1494,-643,2274,-0.491198014,-0.888805398,0.552649674
2021_9,(주)딘타이펑코리아,56121,2,1,1,2,2020,-22.65,-24.34,-17.4,0,-8.05,-7.82,0,-23.42,0,0,32.74,28.39,20.39,2.22,0,3.67,64.98,145.05,640.37,-927.914,4730,34.52,423.22,-17.4,-7.82,2.22,0,-7.82,2.22,-4.43411714,-519,-306,0,-9.028469135,-8.772154783,1.029219087
2021_10,(주)리치빔,56193,7,1,1,1,2020,23.5,26.18,39.64,48.34,26.08,22.32,21.6,,14.38,13.22,833.08,806.83,60.34,1.78,2.17,8.29,71.33,56.65,545.22,18631.47,4748.65,-490.83,389.18,39.64,22.32,1.78,48.34,22.32,1.78,1.21602619,13402,-9608,-6,1.798888713,1.539661831,1.168366116
2021_11,(주)멕시카나,56193,7,1,1,1,2020,31.65,7.61,8.73,13.38,9.59,6.04,64.55,24.44,137.97,100.69,96.55,85.24,61.2,1.44,2.21,1.85,72.79,21.3,26.68,7122.018,4602.66,229.76,769.97,8.73,6.04,1.44,13.38,6.04,1.44,1.645483659,7394,-19441,8046,5.476774149,3.450710291,1.587144004
2021_12,(주)미셸푸드,56111,1,1,2,1,2020,-12.05,-16.53,-9.95,-20.82,-3.08,-2.96,118.59,,90.3,71.15,139.93,135.96,48.22,3.37,7.04,7.73,236.51,15.32,86.72,-1596.867,2217.51,-7.42,1211.8,-9.95,-2.96,3.37,-20.82,-2.96,3.37,2.18588331,-123,-451,111,-1.903244099,-1.825815568,1.042407641
2021_13,(주)밀탑,56229,10,1,1,1,2020,-33.33,-32.4,-19.44,0,-6.62,-10.39,0,-4.33,0,0,31.09,30.51,0.28,1.87,0,4.75,195.75,91.92,601.23,-484.618,1978.83,-57.22,352.44,-19.44,-10.39,1.87,0,-10.39,1.87,-1.088316794,-760,-63,830,-7.679047684,-12.05608134,0.636943918
