year,name,category,fran,nbran,gta,gts,roa,opr,nir,deratio,tat
2020,(유)아웃백스테이크하우스코리아,서양식,1,1,20.67,17.13,15.54,7.96,5.99,111.94,2.59
2016,(주)TS푸드앤시스템,피자/치킨업,1,1,26.87,1.77,-4.98,-1.89,-2.5,513.08,1.99
2017,(주)TS푸드앤시스템,피자/치킨업,1,1,-16.69,-13.61,-16.25,-7.46,-9.69,3111.31,1.68
2018,(주)TS푸드앤시스템,피자/치킨업,1,1,-26.96,-18.56,-27.15,-5.47,-15.64,0,1.74
2019,(주)TS푸드앤시스템,피자/치킨업,1,1,-13.1,-30.98,-27.98,-10.29,-18.42,0,1.52
2020,(주)TS푸드앤시스템,피자/치킨업,1,1,-80.22,-56.42,-101.06,-34.6,-85.03,0,1.19
2016,(주)거촌,중식/일식,2,1,-0.34,7.71,0.55,8.16,4.15,110.98,0.13
2017,(주)거촌,중식/일식,2,1,1.35,-0.62,0.79,10.56,6.01,110.3,0.13
2018,(주)거촌,중식/일식,2,1,0.38,7.4,0.81,12.32,5.77,107.56,0.14
2016,(주)공차코리아,주점 및 비알콜,1,1,57.37,-10.69,0.11,3.05,0.07,22.62,1.6
2017,(주)공차코리아,주점 및 비알콜,1,1,37.26,1.37,7.97,4.5,7.11,138.89,1.12
2018,(주)공차코리아,주점 및 비알콜,1,1,26.79,44.5,23.19,13.72,18.8,101.95,1.23
2019,(주)공차코리아,주점 및 비알콜,1,1,-9.84,65.4,42.36,18.44,22.07,43.1,1.92
2020,(주)공차코리아,주점 및 비알콜,1,1,14.29,-18.13,30.1,10.86,19.46,28,1.55
2016,(주)김家네,간이식,1,2,0.69,3.42,0.34,1.04,0.18,393.81,1.95
2017,(주)김家네,간이식,1,2,62.71,9,1.7,1.78,1.05,716.91,1.61
2018,(주)김家네,간이식,1,2,-25.2,-3.66,22.97,-12.52,16.04,140.25,1.43
2019,(주)김家네,간이식,1,2,-18.51,-0.84,-6.74,-2.65,-3.69,140.08,1.83
2020,(주)김家네,간이식,1,2,-0.67,4.17,0.77,0.53,0.36,134.17,2.13
2016,(주)놀부,한식,1,2,-6.42,0.61,0.03,3.71,0.03,82.71,1.01
2017,(주)놀부,한식,1,2,-8.05,-15.64,-6.19,-3.18,-6.77,88.93,0.91
2018,(주)놀부,한식,1,2,-26.78,-14.61,-23.9,-1.63,-25.41,129.15,0.94
2019,(주)놀부,한식,1,2,-14.93,-17.39,-10.51,0.16,-10.57,150.37,0.99
2020,(주)놀부,한식,1,2,-35.1,-25.93,-44.69,-7.71,-46.02,646.88,0.97
2020,(주)닥터로빈,서양식,1,1,-13.25,-15.87,-10.86,-6.56,-6.27,19.87,1.73
2016,(주)더본코리아,다업종업,1,2,0.53,41.18,27.09,11.3,11.01,62.38,2.46
2017,(주)더본코리아,다업종업,1,2,19.3,-0.45,7.66,7.36,3.44,71.16,2.23
2018,(주)더본코리아,다업종업,1,2,5.57,2.04,7.54,5.74,3.71,59.48,2.03
2019,(주)더본코리아,다업종업,1,2,21.49,-32.39,8,9.38,6.62,69.54,1.21
2020,(주)더본코리아,다업종업,1,2,20.69,12.17,6.23,6.3,5.56,77.72,1.12
2016,(주)동바오,중식/일식,2,1,-0.74,0.75,0.94,16.19,4.74,2875.22,0.2
