year,id,region,gender,age,age_range,A19,A20,A20_1_1,A20_1_2,A20_1_3,A21,A21_1,A22_1,A22_2,A22_3,A23_1,A23_2,A23_3,A24,A25_1,A25_2,A25_3,A25_4,A25_5,A25_6,A25_7,A25_8,A25_9,A25_10,A25_11,A25_12,A26,A27,A27_1_1,A27_1_2,A27_1_3,A28_1,A28_2,A28_3,A29_1,A29_2,A30,A30_1,A31_1,A31_2,A31_3,A32,A33
2020,1A00110101,1,2,40,6,2,,6,2,7,,,,,,,,,,,,,,,,,,,,,,2,4,,,,4,2,6,2,,120000,30000,1,3,2,1,4
2020,1A00110102,1,1,42,6,2,,3,4,7,,,,,,,,,,,,,,,,,,,,,,4,,1,2,5,,,,,,,,,,,,
2020,1A00310101,1,2,55,7,1,3,,,,100000,15000,3,1,11,4,2,3,3,3,3,4,3,3,3,4,2,2,3,4,,3,5,,,,10,6,10,,2,100000,12000,5,2,1,1,3
2020,1A00310301,1,2,43,6,1,2,,,,250000,10000,5,1,7,6,2,4,1,4,3,3,3,4,3,3,2,2,3,3,,1,2,,,,10,11,2,4,1,150000,10000,5,9,3,4,4
2020,1A00310401,1,2,40,6,1,3,,,,200000,13000,1,6,9,8,1,3,1,3,3,3,2,2,4,3,3,4,3,3,,1,4,,,,2,10,11,4,4,160000,9000,5,9,2,3,4
2020,1A00310402,1,1,40,6,1,3,,,,200000,11000,5,7,6,1,2,6,1,3,3,2,3,4,3,3,3,4,2,3,,1,3,,,,2,4,6,2,2,150000,10000,1,2,5,3,4
2020,1A00310501,1,2,37,5,1,4,,,,190000,10000,2,1,5,1,7,6,3,4,4,2,2,3,2,2,2,2,3,3,,1,5,,,,2,9,11,2,1,100000,8000,2,3,7,3,3
2020,1A00310502,1,1,40,6,1,4,,,,200000,11000,2,1,6,6,8,2,1,4,3,2,1,2,2,3,2,3,3,3,,1,4,,,,2,6,7,2,2,160000,10000,1,5,9,3,4
2020,1A00410101,1,2,39,5,1,6,,,,50000,15000,2,1,5,1,6,4,3,4,2,3,3,2,3,3,3,4,3,3,,1,4,,,,4,2,1,2,1,10000,10000,5,3,2,1,3
2020,1A00410102,1,1,43,6,1,6,,,,150000,10000,1,5,2,1,3,6,2,4,3,3,2,3,3,3,3,3,3,3,,1,5,,,,2,1,4,2,1,15000,7000,5,7,4,3,3
2020,1A00410201,1,2,40,6,1,4,,,,100000,30000,1,2,6,1,6,2,2,3,2,3,2,3,3,3,3,2,3,3,,2,6,,,,3,4,6,2,,30000,10000,3,1,3,1,3
