"Month","Day","Temp","variable","value"
5,1,67,"Ozone",41
5,1,67,"Solar.R",190
5,1,67,"Wind",7.4
5,2,72,"Ozone",36
5,2,72,"Solar.R",118
5,2,72,"Wind",8
5,3,74,"Ozone",12
5,3,74,"Solar.R",149
5,3,74,"Wind",12.6
5,4,62,"Ozone",18
5,4,62,"Solar.R",313
5,4,62,"Wind",11.5
5,5,56,"Wind",14.3
5,6,66,"Ozone",28
5,6,66,"Wind",14.9
5,7,65,"Ozone",23
5,7,65,"Solar.R",299
5,7,65,"Wind",8.6
5,8,59,"Ozone",19
5,8,59,"Solar.R",99
5,8,59,"Wind",13.8
5,9,61,"Ozone",8
5,9,61,"Solar.R",19
5,9,61,"Wind",20.1
5,10,69,"Solar.R",194
5,10,69,"Wind",8.6
5,11,74,"Ozone",7
5,11,74,"Wind",6.9
5,12,69,"Ozone",16
5,12,69,"Solar.R",256
5,12,69,"Wind",9.7
5,13,66,"Ozone",11
5,13,66,"Solar.R",290
5,13,66,"Wind",9.2
5,14,68,"Ozone",14
5,14,68,"Solar.R",274
5,14,68,"Wind",10.9
5,15,58,"Ozone",18
5,15,58,"Solar.R",65
5,15,58,"Wind",13.2
5,16,64,"Ozone",14
5,16,64,"Solar.R",334
5,16,64,"Wind",11.5
5,17,66,"Ozone",34
5,17,66,"Solar.R",307
5,17,66,"Wind",12
5,18,57,"Ozone",6
5,18,57,"Solar.R",78
5,18,57,"Wind",18.4
5,19,68,"Ozone",30
5,19,68,"Solar.R",322
5,19,68,"Wind",11.5
5,20,62,"Ozone",11
5,20,62,"Solar.R",44
5,20,62,"Wind",9.7
5,21,59,"Ozone",1
5,21,59,"Solar.R",8
5,21,59,"Wind",9.7
5,22,73,"Ozone",11
5,22,73,"Solar.R",320
5,22,73,"Wind",16.6
5,23,61,"Ozone",4
5,23,61,"Solar.R",25
5,23,61,"Wind",9.7
5,24,61,"Ozone",32
5,24,61,"Solar.R",92
5,24,61,"Wind",12
5,25,57,"Solar.R",66
5,25,57,"Wind",16.6
5,26,58,"Solar.R",266
5,26,58,"Wind",14.9
5,27,57,"Wind",8
5,28,67,"Ozone",23
5,28,67,"Solar.R",13
5,28,67,"Wind",12
5,29,81,"Ozone",45
5,29,81,"Solar.R",252
5,29,81,"Wind",14.9
5,30,79,"Ozone",115
5,30,79,"Solar.R",223
5,30,79,"Wind",5.7
5,31,76,"Ozone",37
5,31,76,"Solar.R",279
5,31,76,"Wind",7.4
6,1,78,"Solar.R",286
6,1,78,"Wind",8.6
6,2,74,"Solar.R",287
6,2,74,"Wind",9.7
6,3,67,"Solar.R",242
6,3,67,"Wind",16.1
6,4,84,"Solar.R",186
6,4,84,"Wind",9.2
6,5,85,"Solar.R",220
6,5,85,"Wind",8.6
6,6,79,"Solar.R",264
6,6,79,"Wind",14.3
6,7,82,"Ozone",29
6,7,82,"Solar.R",127
6,7,82,"Wind",9.7
6,8,87,"Solar.R",273
6,8,87,"Wind",6.9
6,9,90,"Ozone",71
6,9,90,"Solar.R",291
6,9,90,"Wind",13.8
6,10,87,"Ozone",39
6,10,87,"Solar.R",323
6,10,87,"Wind",11.5
6,11,93,"Solar.R",259
6,11,93,"Wind",10.9
6,12,92,"Solar.R",250
6,12,92,"Wind",9.2
6,13,82,"Ozone",23
6,13,82,"Solar.R",148
6,13,82,"Wind",8
6,14,80,"Solar.R",332
6,14,80,"Wind",13.8
6,15,79,"Solar.R",322
6,15,79,"Wind",11.5
6,16,77,"Ozone",21
6,16,77,"Solar.R",191
6,16,77,"Wind",14.9
6,17,72,"Ozone",37
6,17,72,"Solar.R",284
6,17,72,"Wind",20.7
6,18,65,"Ozone",20
6,18,65,"Solar.R",37
6,18,65,"Wind",9.2
6,19,73,"Ozone",12
6,19,73,"Solar.R",120
6,19,73,"Wind",11.5
6,20,76,"Ozone",13
6,20,76,"Solar.R",137
6,20,76,"Wind",10.3
6,21,77,"Solar.R",150
6,21,77,"Wind",6.3
6,22,76,"Solar.R",59
6,22,76,"Wind",1.7
6,23,76,"Solar.R",91
6,23,76,"Wind",4.6
6,24,76,"Solar.R",250
6,24,76,"Wind",6.3
6,25,75,"Solar.R",135
6,25,75,"Wind",8
6,26,78,"Solar.R",127
6,26,78,"Wind",8
6,27,73,"Solar.R",47
6,27,73,"Wind",10.3
6,28,80,"Solar.R",98
6,28,80,"Wind",11.5
6,29,77,"Solar.R",31
6,29,77,"Wind",14.9
6,30,83,"Solar.R",138
6,30,83,"Wind",8
7,1,84,"Ozone",135
7,1,84,"Solar.R",269
7,1,84,"Wind",4.1
7,2,85,"Ozone",49
7,2,85,"Solar.R",248
7,2,85,"Wind",9.2
7,3,81,"Ozone",32
7,3,81,"Solar.R",236
7,3,81,"Wind",9.2
7,4,84,"Solar.R",101
7,4,84,"Wind",10.9
7,5,83,"Ozone",64
7,5,83,"Solar.R",175
7,5,83,"Wind",4.6
7,6,83,"Ozone",40
7,6,83,"Solar.R",314
7,6,83,"Wind",10.9
7,7,88,"Ozone",77
7,7,88,"Solar.R",276
7,7,88,"Wind",5.1
7,8,92,"Ozone",97
7,8,92,"Solar.R",267
7,8,92,"Wind",6.3
7,9,92,"Ozone",97
7,9,92,"Solar.R",272
7,9,92,"Wind",5.7
7,10,89,"Ozone",85
7,10,89,"Solar.R",175
7,10,89,"Wind",7.4
7,11,82,"Solar.R",139
7,11,82,"Wind",8.6
7,12,73,"Ozone",10
7,12,73,"Solar.R",264
7,12,73,"Wind",14.3
7,13,81,"Ozone",27
7,13,81,"Solar.R",175
7,13,81,"Wind",14.9
7,14,91,"Solar.R",291
7,14,91,"Wind",14.9
7,15,80,"Ozone",7
7,15,80,"Solar.R",48
7,15,80,"Wind",14.3
7,16,81,"Ozone",48
7,16,81,"Solar.R",260
7,16,81,"Wind",6.9
7,17,82,"Ozone",35
7,17,82,"Solar.R",274
7,17,82,"Wind",10.3
7,18,84,"Ozone",61
7,18,84,"Solar.R",285
7,18,84,"Wind",6.3
7,19,87,"Ozone",79
7,19,87,"Solar.R",187
7,19,87,"Wind",5.1
7,20,85,"Ozone",63
7,20,85,"Solar.R",220
7,20,85,"Wind",11.5
7,21,74,"Ozone",16
7,21,74,"Solar.R",7
7,21,74,"Wind",6.9
7,22,81,"Solar.R",258
7,22,81,"Wind",9.7
7,23,82,"Solar.R",295
7,23,82,"Wind",11.5
7,24,86,"Ozone",80
7,24,86,"Solar.R",294
7,24,86,"Wind",8.6
7,25,85,"Ozone",108
7,25,85,"Solar.R",223
7,25,85,"Wind",8
7,26,82,"Ozone",20
7,26,82,"Solar.R",81
7,26,82,"Wind",8.6
7,27,86,"Ozone",52
7,27,86,"Solar.R",82
7,27,86,"Wind",12
7,28,88,"Ozone",82
7,28,88,"Solar.R",213
7,28,88,"Wind",7.4
7,29,86,"Ozone",50
7,29,86,"Solar.R",275
7,29,86,"Wind",7.4
7,30,83,"Ozone",64
7,30,83,"Solar.R",253
7,30,83,"Wind",7.4
7,31,81,"Ozone",59
7,31,81,"Solar.R",254
7,31,81,"Wind",9.2
8,1,81,"Ozone",39
8,1,81,"Solar.R",83
8,1,81,"Wind",6.9
8,2,81,"Ozone",9
8,2,81,"Solar.R",24
8,2,81,"Wind",13.8
8,3,82,"Ozone",16
8,3,82,"Solar.R",77
8,3,82,"Wind",7.4
8,4,86,"Ozone",78
8,4,86,"Wind",6.9
8,5,85,"Ozone",35
8,5,85,"Wind",7.4
8,6,87,"Ozone",66
8,6,87,"Wind",4.6
8,7,89,"Ozone",122
8,7,89,"Solar.R",255
8,7,89,"Wind",4
8,8,90,"Ozone",89
8,8,90,"Solar.R",229
8,8,90,"Wind",10.3
8,9,90,"Ozone",110
8,9,90,"Solar.R",207
8,9,90,"Wind",8
8,10,92,"Solar.R",222
8,10,92,"Wind",8.6
8,11,86,"Solar.R",137
8,11,86,"Wind",11.5
8,12,86,"Ozone",44
8,12,86,"Solar.R",192
8,12,86,"Wind",11.5
8,13,82,"Ozone",28
8,13,82,"Solar.R",273
8,13,82,"Wind",11.5
8,14,80,"Ozone",65
8,14,80,"Solar.R",157
8,14,80,"Wind",9.7
8,15,79,"Solar.R",64
8,15,79,"Wind",11.5
8,16,77,"Ozone",22
8,16,77,"Solar.R",71
8,16,77,"Wind",10.3
8,17,79,"Ozone",59
8,17,79,"Solar.R",51
8,17,79,"Wind",6.3
8,18,76,"Ozone",23
8,18,76,"Solar.R",115
8,18,76,"Wind",7.4
8,19,78,"Ozone",31
8,19,78,"Solar.R",244
8,19,78,"Wind",10.9
8,20,78,"Ozone",44
8,20,78,"Solar.R",190
8,20,78,"Wind",10.3
8,21,77,"Ozone",21
8,21,77,"Solar.R",259
8,21,77,"Wind",15.5
8,22,72,"Ozone",9
8,22,72,"Solar.R",36
8,22,72,"Wind",14.3
8,23,75,"Solar.R",255
8,23,75,"Wind",12.6
8,24,79,"Ozone",45
8,24,79,"Solar.R",212
8,24,79,"Wind",9.7
8,25,81,"Ozone",168
8,25,81,"Solar.R",238
8,25,81,"Wind",3.4
8,26,86,"Ozone",73
8,26,86,"Solar.R",215
8,26,86,"Wind",8
8,27,88,"Solar.R",153
8,27,88,"Wind",5.7
8,28,97,"Ozone",76
8,28,97,"Solar.R",203
8,28,97,"Wind",9.7
8,29,94,"Ozone",118
8,29,94,"Solar.R",225
8,29,94,"Wind",2.3
8,30,96,"Ozone",84
8,30,96,"Solar.R",237
8,30,96,"Wind",6.3
8,31,94,"Ozone",85
8,31,94,"Solar.R",188
8,31,94,"Wind",6.3
9,1,91,"Ozone",96
9,1,91,"Solar.R",167
9,1,91,"Wind",6.9
9,2,92,"Ozone",78
9,2,92,"Solar.R",197
9,2,92,"Wind",5.1
9,3,93,"Ozone",73
9,3,93,"Solar.R",183
9,3,93,"Wind",2.8
9,4,93,"Ozone",91
9,4,93,"Solar.R",189
9,4,93,"Wind",4.6
9,5,87,"Ozone",47
9,5,87,"Solar.R",95
9,5,87,"Wind",7.4
9,6,84,"Ozone",32
9,6,84,"Solar.R",92
9,6,84,"Wind",15.5
9,7,80,"Ozone",20
9,7,80,"Solar.R",252
9,7,80,"Wind",10.9
9,8,78,"Ozone",23
9,8,78,"Solar.R",220
9,8,78,"Wind",10.3
9,9,75,"Ozone",21
9,9,75,"Solar.R",230
9,9,75,"Wind",10.9
9,10,73,"Ozone",24
9,10,73,"Solar.R",259
9,10,73,"Wind",9.7
9,11,81,"Ozone",44
9,11,81,"Solar.R",236
9,11,81,"Wind",14.9
