"Month","Day","Temp","Wind","variable","value"
5,1,67,7.4,"Ozone",41
5,1,67,7.4,"Solar.R",190
5,2,72,8,"Ozone",36
5,2,72,8,"Solar.R",118
5,3,74,12.6,"Ozone",12
5,3,74,12.6,"Solar.R",149
5,4,62,11.5,"Ozone",18
5,4,62,11.5,"Solar.R",313
5,6,66,14.9,"Ozone",28
5,7,65,8.6,"Ozone",23
5,7,65,8.6,"Solar.R",299
5,8,59,13.8,"Ozone",19
5,8,59,13.8,"Solar.R",99
5,9,61,20.1,"Ozone",8
5,9,61,20.1,"Solar.R",19
5,10,69,8.6,"Solar.R",194
5,11,74,6.9,"Ozone",7
5,12,69,9.7,"Ozone",16
5,12,69,9.7,"Solar.R",256
5,13,66,9.2,"Ozone",11
5,13,66,9.2,"Solar.R",290
5,14,68,10.9,"Ozone",14
5,14,68,10.9,"Solar.R",274
5,15,58,13.2,"Ozone",18
5,15,58,13.2,"Solar.R",65
5,16,64,11.5,"Ozone",14
5,16,64,11.5,"Solar.R",334
5,17,66,12,"Ozone",34
5,17,66,12,"Solar.R",307
5,18,57,18.4,"Ozone",6
5,18,57,18.4,"Solar.R",78
5,19,68,11.5,"Ozone",30
5,19,68,11.5,"Solar.R",322
5,20,62,9.7,"Ozone",11
5,20,62,9.7,"Solar.R",44
5,21,59,9.7,"Ozone",1
5,21,59,9.7,"Solar.R",8
5,22,73,16.6,"Ozone",11
5,22,73,16.6,"Solar.R",320
5,23,61,9.7,"Ozone",4
5,23,61,9.7,"Solar.R",25
5,24,61,12,"Ozone",32
5,24,61,12,"Solar.R",92
5,25,57,16.6,"Solar.R",66
5,26,58,14.9,"Solar.R",266
5,28,67,12,"Ozone",23
5,28,67,12,"Solar.R",13
5,29,81,14.9,"Ozone",45
5,29,81,14.9,"Solar.R",252
5,30,79,5.7,"Ozone",115
5,30,79,5.7,"Solar.R",223
5,31,76,7.4,"Ozone",37
5,31,76,7.4,"Solar.R",279
6,1,78,8.6,"Solar.R",286
6,2,74,9.7,"Solar.R",287
6,3,67,16.1,"Solar.R",242
6,4,84,9.2,"Solar.R",186
6,5,85,8.6,"Solar.R",220
6,6,79,14.3,"Solar.R",264
6,7,82,9.7,"Ozone",29
6,7,82,9.7,"Solar.R",127
6,8,87,6.9,"Solar.R",273
6,9,90,13.8,"Ozone",71
6,9,90,13.8,"Solar.R",291
6,10,87,11.5,"Ozone",39
6,10,87,11.5,"Solar.R",323
6,11,93,10.9,"Solar.R",259
6,12,92,9.2,"Solar.R",250
6,13,82,8,"Ozone",23
6,13,82,8,"Solar.R",148
6,14,80,13.8,"Solar.R",332
6,15,79,11.5,"Solar.R",322
6,16,77,14.9,"Ozone",21
6,16,77,14.9,"Solar.R",191
6,17,72,20.7,"Ozone",37
6,17,72,20.7,"Solar.R",284
6,18,65,9.2,"Ozone",20
6,18,65,9.2,"Solar.R",37
6,19,73,11.5,"Ozone",12
6,19,73,11.5,"Solar.R",120
6,20,76,10.3,"Ozone",13
6,20,76,10.3,"Solar.R",137
6,21,77,6.3,"Solar.R",150
6,22,76,1.7,"Solar.R",59
6,23,76,4.6,"Solar.R",91
6,24,76,6.3,"Solar.R",250
6,25,75,8,"Solar.R",135
6,26,78,8,"Solar.R",127
6,27,73,10.3,"Solar.R",47
6,28,80,11.5,"Solar.R",98
6,29,77,14.9,"Solar.R",31
6,30,83,8,"Solar.R",138
7,1,84,4.1,"Ozone",135
7,1,84,4.1,"Solar.R",269
7,2,85,9.2,"Ozone",49
7,2,85,9.2,"Solar.R",248
7,3,81,9.2,"Ozone",32
7,3,81,9.2,"Solar.R",236
7,4,84,10.9,"Solar.R",101
7,5,83,4.6,"Ozone",64
7,5,83,4.6,"Solar.R",175
7,6,83,10.9,"Ozone",40
7,6,83,10.9,"Solar.R",314
7,7,88,5.1,"Ozone",77
7,7,88,5.1,"Solar.R",276
7,8,92,6.3,"Ozone",97
7,8,92,6.3,"Solar.R",267
7,9,92,5.7,"Ozone",97
7,9,92,5.7,"Solar.R",272
7,10,89,7.4,"Ozone",85
7,10,89,7.4,"Solar.R",175
7,11,82,8.6,"Solar.R",139
7,12,73,14.3,"Ozone",10
7,12,73,14.3,"Solar.R",264
7,13,81,14.9,"Ozone",27
7,13,81,14.9,"Solar.R",175
