"Month","Day","Temp","Wind","Ozone","Solar.R"
5,1,67,7.4,41,190
5,2,72,8,36,118
5,3,74,12.6,12,149
5,4,62,11.5,18,313
5,5,56,14.3,NA,NA
5,6,66,14.9,28,NA
5,7,65,8.6,23,299
5,8,59,13.8,19,99
5,9,61,20.1,8,19
5,10,69,8.6,NA,194
5,11,74,6.9,7,NA
5,12,69,9.7,16,256
5,13,66,9.2,11,290
5,14,68,10.9,14,274
5,15,58,13.2,18,65
5,16,64,11.5,14,334
5,17,66,12,34,307
5,18,57,18.4,6,78
5,19,68,11.5,30,322
5,20,62,9.7,11,44
5,21,59,9.7,1,8
5,22,73,16.6,11,320
5,23,61,9.7,4,25
5,24,61,12,32,92
5,25,57,16.6,NA,66
5,26,58,14.9,NA,266
5,27,57,8,NA,NA
5,28,67,12,23,13
5,29,81,14.9,45,252
5,30,79,5.7,115,223
5,31,76,7.4,37,279
6,1,78,8.6,NA,286
6,2,74,9.7,NA,287
6,3,67,16.1,NA,242
6,4,84,9.2,NA,186
6,5,85,8.6,NA,220
6,6,79,14.3,NA,264
6,7,82,9.7,29,127
6,8,87,6.9,NA,273
6,9,90,13.8,71,291
6,10,87,11.5,39,323
6,11,93,10.9,NA,259
6,12,92,9.2,NA,250
6,13,82,8,23,148
6,14,80,13.8,NA,332
6,15,79,11.5,NA,322
6,16,77,14.9,21,191
6,17,72,20.7,37,284
6,18,65,9.2,20,37
6,19,73,11.5,12,120
6,20,76,10.3,13,137
6,21,77,6.3,NA,150
6,22,76,1.7,NA,59
6,23,76,4.6,NA,91
6,24,76,6.3,NA,250
6,25,75,8,NA,135
6,26,78,8,NA,127
6,27,73,10.3,NA,47
6,28,80,11.5,NA,98
6,29,77,14.9,NA,31
6,30,83,8,NA,138
7,1,84,4.1,135,269
7,2,85,9.2,49,248
7,3,81,9.2,32,236
7,4,84,10.9,NA,101
7,5,83,4.6,64,175
7,6,83,10.9,40,314
7,7,88,5.1,77,276
7,8,92,6.3,97,267
7,9,92,5.7,97,272
7,10,89,7.4,85,175
7,11,82,8.6,NA,139
7,12,73,14.3,10,264
7,13,81,14.9,27,175
7,14,91,14.9,NA,291
7,15,80,14.3,7,48
7,16,81,6.9,48,260
7,17,82,10.3,35,274
7,18,84,6.3,61,285
7,19,87,5.1,79,187
7,20,85,11.5,63,220
7,21,74,6.9,16,7
7,22,81,9.7,NA,258
7,23,82,11.5,NA,295
7,24,86,8.6,80,294
7,25,85,8,108,223
7,26,82,8.6,20,81
7,27,86,12,52,82
7,28,88,7.4,82,213
7,29,86,7.4,50,275
7,30,83,7.4,64,253
7,31,81,9.2,59,254
8,1,81,6.9,39,83
8,2,81,13.8,9,24
8,3,82,7.4,16,77
8,4,86,6.9,78,NA
8,5,85,7.4,35,NA
8,6,87,4.6,66,NA
8,7,89,4,122,255
8,8,90,10.3,89,229
8,9,90,8,110,207
8,10,92,8.6,NA,222
8,11,86,11.5,NA,137
8,12,86,11.5,44,192
8,13,82,11.5,28,273
8,14,80,9.7,65,157
8,15,79,11.5,NA,64
8,16,77,10.3,22,71
8,17,79,6.3,59,51
8,18,76,7.4,23,115
8,19,78,10.9,31,244
8,20,78,10.3,44,190
8,21,77,15.5,21,259
8,22,72,14.3,9,36
8,23,75,12.6,NA,255
8,24,79,9.7,45,212
8,25,81,3.4,168,238
8,26,86,8,73,215
8,27,88,5.7,NA,153
8,28,97,9.7,76,203
8,29,94,2.3,118,225
8,30,96,6.3,84,237
8,31,94,6.3,85,188
9,1,91,6.9,96,167
9,2,92,5.1,78,197
9,3,93,2.8,73,183
9,4,93,4.6,91,189
9,5,87,7.4,47,95
9,6,84,15.5,32,92
9,7,80,10.9,20,252
9,8,78,10.3,23,220
9,9,75,10.9,21,230
9,10,73,9.7,24,259
9,11,81,14.9,44,236
9,12,76,15.5,21,259
9,13,77,6.3,28,238
9,14,71,10.9,9,24
9,15,71,11.5,13,112
9,16,78,6.9,46,237
9,17,67,13.8,18,224
9,18,76,10.3,13,27
9,19,68,10.3,24,238
9,20,82,8,16,201
9,21,64,12.6,13,238
9,22,71,9.2,23,14
9,23,81,10.3,36,139
9,24,69,10.3,7,49
9,25,63,16.6,14,20
9,26,70,6.9,30,193
9,27,77,13.2,NA,145
9,28,75,14.3,14,191
9,29,76,8,18,131
9,30,68,11.5,20,223
