id,name,year,gta,roa,opr,nir
26,(주)이디야,2012,,44.45,7.27,7.72
26,(주)이디야,2013,49.62,39.76,9.94,9.21
26,(주)이디야,2014,64.66,39.11,11.19,9.71
26,(주)이디야,2015,119.15,22.83,12.05,9.66
26,(주)이디야,2016,11.65,13.39,10.28,7.27
26,(주)이디야,2017,19.86,15.91,10.97,8.35
26,(주)이디야,2018,3.24,10.12,8.8,5.4
26,(주)이디야,2019,14.81,12.6,8.81,6.67
26,(주)이디야,2020,19.74,8,6.28,4.9
37,(주)커피빈코리아,2008,28.84,3.01,9.15,3.31
37,(주)커피빈코리아,2009,5.58,2.75,6.65,2.88
37,(주)커피빈코리아,2010,-0.14,5.14,9.99,4.86
37,(주)커피빈코리아,2011,8.66,4.56,8,4.26
37,(주)커피빈코리아,2012,6.61,-1.01,3.81,-0.98
37,(주)커피빈코리아,2013,4.32,3.51,6.25,3.47
37,(주)커피빈코리아,2014,3.79,5.29,8.45,5.33
37,(주)커피빈코리아,2015,1.19,1.69,2.82,1.83
37,(주)커피빈코리아,2016,3.4,2.77,4.39,2.93
37,(주)커피빈코리아,2017,4.01,2.69,3.9,2.73
37,(주)커피빈코리아,2018,-11.26,9.57,3.9,8.85
37,(주)커피빈코리아,2019,9.46,-0.12,0.09,-0.11
37,(주)커피빈코리아,2020,-6.23,-11.36,-14.45,-13.75
49,(주)할리스에프앤비,2008,3.99,7.16,9.36,3.74
49,(주)할리스에프앤비,2009,33.17,5.55,7.79,2.88
49,(주)할리스에프앤비,2010,18.17,-10.4,12.01,-4.71
49,(주)할리스에프앤비,2011,58.53,15.5,10.13,6.56
49,(주)할리스에프앤비,2012,16.49,16.08,10.79,7.92
49,(주)할리스에프앤비,2013,83.15,7.27,10.24,5.23
49,(주)할리스에프앤비,2014,16.34,7.19,6.94,6.19
49,(주)할리스에프앤비,2015,21.58,5.59,6.31,4.24
49,(주)할리스에프앤비,2016,16.36,9.32,9.9,7.08
49,(주)할리스에프앤비,2017,-3.82,12.1,10.91,8.86
49,(주)할리스에프앤비,2018,7.8,11.42,10.53,7.75
49,(주)할리스에프앤비,2019,75.54,6,9.38,5.46
49,(주)할리스에프앤비,2020,-19.4,-0.69,2.61,-0.85
82,주식회사스타벅스커피코리아,2008,31.03,15.45,10.72,7.83
82,주식회사스타벅스커피코리아,2009,9.27,12.06,8.3,6.09
82,주식회사스타벅스커피코리아,2010,25.19,13.93,9.25,6.96
82,주식회사스타벅스커피코리아,2011,37.63,11.3,7.79,6.06
82,주식회사스타벅스커피코리아,2012,33.15,8.77,6.34,4.84
82,주식회사스타벅스커피코리아,2013,22.39,9.34,6.66,5.31
82,주식회사스타벅스커피코리아,2014,28.72,8.92,6.52,4.99
82,주식회사스타벅스커피코리아,2015,15.65,6.75,6.09,3.66
82,주식회사스타벅스커피코리아,2016,12.86,13.65,8.5,6.51
82,주식회사스타벅스커피코리아,2017,18.68,16.33,9.05,7.16
82,주식회사스타벅스커피코리아,2018,28.46,16.29,9.38,7.36
82,주식회사스타벅스커피코리아,2019,61.81,13.12,9.37,7.1
82,주식회사스타벅스커피코리아,2020,10.4,7.57,8.52,5.17
109,투썸플레이스주식회사,2018,,23.95,12.15,7.86
109,투썸플레이스주식회사,2019,56.54,10.7,11.75,7.36
109,투썸플레이스주식회사,2020,3.24,8.88,11.12,6.84
