name,year,ta,sales,cogs,laborexp,exp_revised
(주)TS푸드앤시스템,2019,3366,12578,9218,840.19,3814.81
(주)공차코리아,2019,2545,129269,84959,7733.83,12736.17
(주)김家네,2019,7611,31539,25517,3762.95,3096.05
(주)놀부,2019,19582,71634,42637,12847.56,16032.44
(주)더본코리아,2019,54450,120091,60613,24445.09,23763.91
(주)동바오,2019,18372,3559,1064,1231.2,707.8
(주)리치빔,2019,4927,55117,33667,3982.85,5155.15
(주)멕시카나,2019,28891,71231,46806,5288.79,12350.21
(주)미셸푸드,2019,3306,61972,57007,2375.74,2213.26
(주)바이킹그룹,2019,3493,44508,25379,4376.07,12840.93
(주)보나비,2019,51500,89134,41554,18505.74,28759.26
(주)삼양에프앤비,2019,516,12987,5085,5176.46,4942.54
주식회사삼원가든,2019,11227,37993,0,12614.52,23760.48
(주)새벽집,2019,26287,10004,7252,637.12,1054.88
(주)소우케이티지푸드,2019,16032,1925,719,757.99,420.01
(주)송추가마골,2019,12958,70274,28195,22282.47,15392.53
(주)신라명과,2019,14915,42060,32142,2319.81,6808.19
(주)신정,2019,1276,3741,952,1502.44,1072.56
(주)신화아이푸드,2019,51555,73855,63036,559.47,2621.53
(주)쓰리에프글로벌,2019,28155,12592,6560,2972.8,1943.2
(주)에스엠에프앤비디벨롭먼트,2019,2690,2063,1948,916.05,2913.95
(주)에스엠엔터프라이즈,2019,5757,19153,9181,2630.53,7052.47
(주)엔타스,2019,37203,66977,0,25767.92,42554.08
(주)엔타스에스디,2019,8301,16205,0,4947.02,9906.98
(주)엘브이아이파트너스,2019,2579,13072,0,5774.05,11552.95
(주)엘에프푸드,2019,15847,62265,49568,5106.56,8311.44
(주)오발탄에프에스,2019,8627,10405,3240,2665.11,2965.89
(주)이디야,2019,86150,220780,140589,24913.22,35828.78
(주)이랜드이츠,2019,33536,236253,190623,2886.95,36399.05
(주)이바돔,2019,22190,84308,50453,13276.71,18889.29
(주)장충동왕족발,2019,25270,21954,14047,2199.97,5345.03
(주)재원푸드,2019,412,43595,21664,4375.14,16094.86
(주)전한,2019,22970,77938,30453,23857.38,17927.62
(주)정정당당,2019,7779,85822,30227,36142.74,20640.26
(주)제너시스비비큐,2019,23520,243761,152502,16254.67,49083.33
(주)젠푸드,2019,10882,31050,18655,1545.77,9196.23
(주)준코,2019,4228,73465,20471,20226.58,31345.42
(주)차우,2019,32,1688,1126,567.06,203.94
(주)채선당,2019,6822,47221,32094,6963.2,7163.8
(주)캘리스코,2019,22683,86822,75389,4711.61,5375.39
(주)커피빈코리아,2019,59427,165008,72340,32460.29,60065.71
(주)탐앤탐스,2019,63832,68366,41402,4566.55,20695.45
(주)태범,2019,23883,2659,359,361.03,996.97
(주)파리크라상,2019,668356,1835111,899745,222064.53,637229.47
(주)페리카나,2019,8992,45423,37757,3718.32,3514.68
(주)평가옥푸드시스템,2019,10912,6012,1620,1478.59,2521.41
(주)푸드죤,2019,4492,9717,1211,2875.53,4506.47
