,company,brand,category,estb_date,com_type,register_date,asset_2018,debt_2018,equity_2018,sales_2018,opr_2018,ni_2018,asset_2019,debt_2019,equity_2019,sales_2019,opr_2019,ni_2019,asset_2020,debt_2020,equity_2020,sales_2020,opr_2020,ni_2020,emp_임원,emp_직원,emp_total,n_brand,family_com,fran_start_year,total_store_2018, com_own_store_2018, fran_store_2018,total_store_2019, com_own_store_2019, fran_store_2019,total_store_2020, com_own_store_2020, fran_store_2020,new_store_2018, finish_1_store_2018, finish_2_store_2018,new_store_2019, finish_1_store_2019, finish_2_store_2019,new_store_2020, finish_1_store_2020, finish_2_store_2020,sub_hq, adv_fee, sales_fee, fran_type, deposit_fee,violation_1, violation_2, violation_3,fran_fee, traing_fee, deposit, etc_fee, total_fee,interior_fee_per_area, area_criterion, total_interior_fee,contract_term_initial, contract_term_re
296,(주)향기내는사람들,히즈빈스(HISBEANS),커피,2010.09.13,법인,2018.03.23,"390,625","321,228","69,397","1,409,061","-87,117","-42,240","534,346","459,685","74,661","1,385,903","-193,403","5,263","518,047","437,008","81,039","2,148,677","-226,530","6,377",1,58,59,1,0,8/23/2013,11,4,7,10,4,6,13,5,8,2,0,0,1,0,2,3,0,0,0,"3,559",0,보험,"16,940",0,0,0,"11,000","5,940",0,"126,970","143,910","2,692",99,"80,750",3,2
851,(주)더본코리아,빽다방,커피,2007.06.11,법인,2009.10.30,"84,998,333","35,339,190","49,659,143","174,084,567","12,807,635","5,982,224","89,729,934","33,465,620","56,264,314","177,629,625","10,198,075","6,586,517","109,014,451","44,715,637","64,298,814","120,090,805","11,268,245","7,953,088",4,249,253,21,0,9/7/2009,544,5,539,577,6,571,620,3,617,35,0,18,40,0,8,54,0,8,0,"86,613","1,649,733",예치제,"11,600",0,0,0,"6,050",550,"5,000","72,749","84,349","1,650",50,"24,750",2,1
909,블루빈컴퍼니(주),라떼킹,커피,2011.10.11,법인,2011.03.22,"2,458,387","2,103,382","355,005","1,426,909","46,730","4,946","2,481,129","2,005,187","475,942","8,453,468","184,245","120,936","2,914,459","2,301,938","612,521","6,582,726","161,512","136,578",2,4,6,2,0,3/17/2009,24,0,24,17,1,16,13,1,12,0,0,7,1,0,9,0,0,4,0,803,0,예치제,"14,000",0,0,0,"5,500","5,500","3,000","71,500","85,500","3,053",33,"30,525",3,2
910,블루빈컴퍼니(주),시나본,커피,2011.10.11,법인,2018.11.09,"2,458,387","2,103,382","355,005","1,426,909","46,730","4,946","2,481,129","2,005,187","475,942","8,453,468","184,245","120,936","2,914,459","2,301,938","612,521","6,582,726","161,512","136,578",2,4,6,2,0,1/16/2019,1,1,0,18,18,0,26,1,25,0,0,0,0,0,0,28,3,0,0,"54,186",0,예치제,"26,500",0,0,0,"11,000","5,500","10,000","86,680","113,180","1,980",66,"39,600",1,1
946,(주)디앤지에프씨,씨이십칠(C27),커피,2015.02.24,법인,2016.07.29,"3,078,551","2,726,020","352,531","5,386,463","407,453","357,159","3,635,805","3,567,484","68,321","6,841,753","-274,774","-284,211","3,698,394","3,469,143","229,251","7,970,755","161,273","160,930",2,39,41,3,2,1/20/2017,8,6,2,11,9,2,12,10,2,2,0,0,0,0,0,0,0,0,0,"17,349",0,예치제,"23,200",0,0,0,"13,200",0,"10,000","328,625","351,825","2,475",182,"136,125",3,2
951,(주)세컨드찬스,엑소엑소핫도그앤커피,커피,2015.07.17,법인,2016.04.07,"3,275,505","2,495,438","780,067","16,029,612","227,824","198,972","12,638,926","10,414,057","2,224,869","33,672,543","540,683","390,407","10,204,709","5,882,172","4,322,537","32,283,951","660,875","645,347",4,27,31,2,1,4/22/2016,168,0,168,159,0,159,145,0,145,48,4,0,2,0,11,0,0,14,1,"506,812",0,해당없음,"8,300",0,0,0,"2,200","1,100","5,000","60,720","69,020","2,750",33,"27,500",2,1
1019,(주)엘케이디앤,카페동네,커피,2016.01.11,법인,2021.01.27,"353,171","234,044","119,127","777,775","92,320","88,678","556,643","394,912","161,731","783,786","48,475","42,604","854,723","634,996","219,727","877,455","51,230","57,996",2,8,10,1,0,1/6/2016,2,0,2,3,0,3,3,0,3,0,0,0,1,0,0,0,0,0,0,"2,755",0,보험,"17,100",0,0,0,"5,500","6,600","5,000","131,780","148,880","2,383",99,"71,500",3,3
1073,(주)커피에반하다,커피에반하다,커피,2013.07.19,법인,2015.06.18,"7,025,698","5,446,475","1,579,223","11,805,944","470,830","251,005","9,910,549","6,860,138","3,050,411","14,001,142","743,902","471,233","10,348,172","6,407,467","3,940,705","17,200,767","911,241","735,653",2,50,52,1,0,3/30/2011,457,0,457,589,0,589,688,0,688,109,0,22,164,0,32,155,0,56,0,"243,544",0,해당없음,0,0,0,0,0,0,0,"52,250","52,250","1,760",33,"17,600",2,1
1120,(주)매머드커피랩,매머드익스프레스(MammothExpress),커피,2012.12.03,법인,2016.11.09,"3,082,355","2,493,414","588,941","8,444,227","363,833","281,950","3,703,592","2,957,353","746,239","10,974,574","225,907","157,298","4,365,130","2,987,687","1,377,443","13,262,117","370,381","114,177",3,65,68,2,0,12/1/2016,18,0,18,45,2,43,84,1,83,17,0,0,25,0,0,47,0,7,0,"219,512",0,예치제,"16,500",0,0,0,"11,000","5,500",0,"72,600","89,100","2,888",26,"23,100",5,2
1121,(주)매머드커피랩,매머드커피(Mammothcoffee),커피,2012.12.03,법인,2014.08.13,"3,082,355","2,493,414","588,941","8,444,227","363,833","281,950","3,703,592","2,957,353","746,239","10,974,574","225,907","157,298","4,365,130","2,987,687","1,377,443","13,262,117","370,381","114,177",3,65,68,2,0,7/26/2013,99,2,97,93,2,91,71,1,70,17,0,21,11,0,17,3,0,24,0,"219,512",0,예치제,"16,500",0,0,0,"11,000","5,500",0,"72,330","88,830","2,888",26,"23,100",5,2
1390,연두커피인터내셔날(주),드립앤더치,커피,2012.03.08,법인,2012.10.04,"2,057,219","1,461,398","595,821","1,994,762","-15,878","-38,078","2,449,129","1,832,283","616,846","1,364,941","28,360","21,024","2,388,529","1,711,408","677,121","1,319,928","80,877","60,274",1,10,11,1,0,3/15/2012,5,0,5,5,0,5,3,0,3,0,2,0,0,0,0,1,0,3,0,"2,949",0,예치제,"21,000",0,0,0,"6,600","4,400","10,000","232,430","253,430","2,695",132,"107,800",3,1
1452,(주)카페도헤이,카페도헤이왕의커피,커피,2012.05.21,법인,2016.03.24,"334,533","581,926","-247,393","630,149","-26,695","15,825","528,736","776,172","-247,436","632,777","-13,140",-43,"600,161","879,990","-279,829","607,876","-54,365","-32,393",3,7,10,1,0,4/20/2016,13,1,12,13,1,12,18,1,17,6,0,0,3,0,3,6,0,1,0,0,0,해당없음,0,0,0,0,0,0,0,"46,700","46,700","2,120",33,"21,200",2,1
1491,(주)카페보스,카페보스(CAFEBOSS),커피,2017.11.07,법인,2018.07.20,"133,658","88,493","45,165",0,"-5,181","-4,835","620,488","651,293","-30,805","292,726","-80,021","-75,970","639,532","1,083,404","-443,872","591,586","-252,615","-266,666",2,9,11,1,0,7/25/2018,1,1,0,5,3,2,4,2,2,0,0,0,2,0,0,0,0,0,0,"8,969",0,보험,"16,200",0,0,0,"11,000","2,200","3,000","77,000","93,200","1,870",33,"18,700",2,1
1530,(주)만랩,만랩커피,커피,2015.11.17,법인,2016.02.03,"950,366","530,429","419,937","2,591,722","232,762","208,682","2,010,160","1,269,181","740,979","4,857,396","380,703","321,042","2,684,282","1,650,477","1,033,805","6,812,757","564,096","354,231",3,20,23,1,0,10/14/2015,30,2,28,66,2,64,107,2,105,18,0,0,37,1,0,43,2,0,0,"158,291",0,예치제,"10,900",0,0,0,"5,500","4,400","1,000","77,000","87,900","2,200",50,"33,000",2,1
1559,(주)엠피그룹,마노핀,커피,1995.09.07,법인,2012.04.06,"60,817,236","48,914,647","11,902,589","81,521,072","-10,992,917","-17,891,795","46,160,462","25,637,756","20,522,706","65,652,118","-4,560,488","8,812,709","54,035,947","35,645,467","18,390,480","61,840,102","-191,669","-2,126,540",9,252,261,2,1,4/21/2012,37,23,14,36,24,12,31,20,11,0,1,0,0,0,2,0,1,0,1,"93,433",987,보험,"23,750",0,0,0,"11,000","2,750","10,000","112,370","136,120","2,200",83,"55,000",3,3
1570,아틀리에빈(주),아틀리에빈,커피,2016.02.19,법인,2020.12.23,"301,030","65,627","235,403","1,036,043","160,012","163,981","380,443","200,031","180,412","990,684","-52,878","-54,991","490,560","116,627","373,933","1,803,070","1,954,503","193,521",2,15,17,0,0,3/7/2016,30,0,30,35,0,35,44,0,44,12,0,0,6,0,1,9,0,0,0,"8,816",0,예치제,"12,700",0,0,0,"5,500","2,200","5,000","67,100","79,800","2,200",50,"33,000",2,1
1616,(주)할리스에프앤비,디초콜릿커피앤드,커피,2005.02.01,법인,2015.02.17,"101,144,154","34,417,751","66,726,403","140,861,886","15,371,116","12,478,543","109,035,074","30,307,995","78,727,079","154,891,840","16,308,049","12,000,676","191,403,460","105,149,923","86,253,537","164,936,266","15,467,013","9,006,045",9,847,856,2,0,1/1/2015,38,18,20,53,27,26,50,27,23,7,1,3,10,0,4,3,0,6,0,"2,460,214","1,116,925",예치제,"16,000",0,0,0,"6,600","4,400","5,000","69,010","85,010","1,500",50,"22,500",3,1
1617,(주)할리스에프앤비,할리스커피,커피,2005.02.01,법인,2008.08.06,"101,144,154","34,417,751","66,726,403","140,861,886","15,371,116","12,478,543","109,035,074","30,307,995","78,727,079","154,891,840","16,308,049","12,000,676","191,403,460","105,149,923","86,253,537","164,936,266","15,467,013","9,006,045",9,847,856,2,0,6/1/1999,508,102,406,539,112,427,561,108,453,55,15,20,58,16,21,52,4,22,0,"2,460,214","1,116,925",예치제,"21,000",0,0,0,"6,600","4,400","10,000","163,500","184,500","2,400",99,"72,000",3,1
1644,(주)큐로에프앤비,일리카페(illyCaffe),커피,2007.07.04,법인,2009.08.12,"4,869,110","8,034,796","-3,165,686","1,746,048","-2,030,738","-6,612,750","9,586,762","16,409,270","-6,822,508","2,874,069","-3,267,416","-4,321,762","10,875,235","23,436,485","-12,561,250","5,104,637","-3,959,905","-5,823,269",5,81,86,1,0,5/25/2010,13,5,8,19,10,9,29,17,12,0,4,0,1,0,0,3,0,0,0,"242,000","61,328",예치제,"21,500",0,0,0,"11,000","5,500","5,000","228,840","250,340","4,395",99,"131,860",2,2
1693,(주)카페발트,블랙라인커피,커피,2014.05.23,법인,2016.01.18,"332,275","394,511","-62,236","664,179","-45,679","-79,907","286,662","423,171","-136,509","437,696","-63,735","-74,272","275,791","418,825","-143,034","334,545","8,046","-6,525",2,3,5,1,0,6/23/2014,18,0,18,14,0,14,11,0,11,0,0,3,2,2,4,0,2,1,1,"3,751",0,예치제,"10,150",1,0,0,"5,500","1,650","3,000","69,520","79,670","3,300",33,"33,000",2,2
1784,대현패밀리(주),퀸즈브라운,커피,2014.07.08,법인,2016.01.11,"2,281,352","1,403,880","877,472","3,491,452","25,680","4,911","1,792,265","912,610","879,655","1,363,369","152,855","2,184","1,678,174","810,585","867,589","636,140","20,081","-12,067",1,2,3,1,0,3/1/2015,27,2,25,29,0,29,20,0,20,19,0,11,13,0,9,5,4,10,0,"14,131","2,104",예치제,"16,000",0,0,0,"7,700","3,300","5,000","48,700","64,700",0,0,0,2,2
1817,(주)엘에이치지,라떼떼,커피,2008.10.31,법인,2011.10.18,"1,897,424","736,966","1,160,458","2,182,407","263,481","253,272","2,858,418","1,539,365","1,319,053","3,864,991","159,163","158,593","2,155,742","1,486,315","669,427","4,114,711","-633,790","-612,055",3,10,13,22,2,10/18/2011,33,0,33,37,0,37,36,0,36,19,1,0,15,11,0,15,16,0,0,"548,394","58,982",보험,"19,300",0,0,0,"11,000","3,300","5,000","76,800","96,100","1,584",33,"15,840",5,5
1845,(주)더벤티코리아,더벤티,커피,2015.07.22,법인,2014.08.12,"6,816,340","3,714,337","3,102,003","23,739,823","1,001,943","987,678","6,057,072","4,012,963","2,044,109","28,460,703","1,730,089","1,308,264","9,625,366","5,436,793","4,188,573","37,129,652","2,812,817","2,504,463",4,52,56,1,0,3/21/2014,230,3,227,287,5,282,387,6,381,46,0,5,68,1,12,117,3,15,0,"444,743","108,286",예치제,"12,150",0,0,0,"5,500","1,650","5,000","50,000","62,150","1,760",33,"17,600",2,1
1847,(주)요거프레소,요거프레소,커피,2007.11.20,법인,2008.10.17,"21,045,583","2,761,107","18,284,476","10,146,617","585,664","501,616","30,718,300","12,792,758","17,925,542","21,800,075","3,109,710","2,275,503","41,228,921","23,245,814","17,983,107","20,158,838","2,034,861","57,564",1,49,50,1,0,11/20/2007,752,0,752,705,0,705,656,0,656,93,107,26,85,103,29,43,81,11,0,"311,203",0,보험,"8,800",0,0,0,"3,300","5,500",0,"49,390","58,190","1,980",26,"15,840",2,1
1877,(주)케이엠엘리홀딩스,케이엠엘리갤러리카페,커피,2015.06.13,법인,2017.12.14,"573,880","567,250","6,630","693,104","24,487","24,413","320,713","265,880","54,833","1,238,460","41,772","48,203","536,424","437,508","98,916","1,121,757","43,890","44,082",2,7,9,1,0,12/30/2017,2,1,1,14,1,13,21,0,21,1,0,0,12,0,0,11,0,3,0,"42,330",0,보험,"5,500",0,0,0,"5,500",0,0,"99,000","104,500","2,200",66,"44,000",2,1
1907,㈜커피101스트릿,커피101스트릿(COFFEE101STREET),커피,2018.01.15,법인,2016.12.28,"625,995","363,620","262,375","1,217,690","34,215","42,760","116,992","116,730",262,"203,125","-30,663","-29,737","137,976","93,383","44,593","396,969","44,244","44,330",2,0,2,1,0,8/15/2015,9,1,8,11,0,11,15,0,15,5,0,0,3,0,0,4,0,0,0,180,0,예치제,"11,800",0,0,0,"5,500","3,300","3,000","95,700","107,500","2,200",66,"44,000",2,1
1995,(주)아리스타,아리스타,커피,2011.01.10,법인,2009.11.26,"152,374","226,271","-73,897","646,341","16,733","15,952","133,022","147,179","-14,157","908,147","53,919","59,739","1,503,926","662,409","841,517","2,034,055","-110,507","-123,325",3,71,74,1,0,2/15/2008,57,0,57,61,0,61,56,8,48,1,0,9,7,0,3,2,0,15,0,"10,759",512,해당없음,"7,700",0,0,0,"5,500","2,200",0,"81,620","89,320","2,530",50,"37,950",2,1
2005,고품격커피공장,고품격커피공장,커피,2014.11.10,개인,2019.09.16,"25,072",912,"24,160","213,842","25,972","28,983","67,939","2,658","65,281","211,428","15,246","22,500","64,195",405,"63,790","326,634","16,591","23,981",1,7,8,1,0,11/30/2015,3,1,2,3,1,2,9,1,8,1,0,0,0,0,0,6,0,0,0,45,0,보험,"9,800",0,0,0,"5,500","3,300","1,000","56,100","65,900","3,163",26,"25,300",2,1
2111,(주)이에이티,잇.(EAT),커피,2011.04.14,법인,2012.10.05,"5,097,345","4,245,723","851,622","9,805,608","500,112","411,568","4,654,490","3,597,017","1,057,473","10,283,634","-582,140","205,851","5,405,526","3,928,875","1,476,651","10,866,167","-298,737","-478,334",3,13,16,1,0,5/1/2011,19,15,4,13,10,3,15,13,2,1,0,0,0,0,0,0,0,1,0,"27,534","10,474",예치제,"13,000",1,0,0,"8,000","2,000","3,000","52,415","65,415","2,420",26,"19,360",3,1
2182,(주)디떼,디에떼에스프레소,커피,2011.06.15,법인,2012.02.28,"4,431,234","3,068,302","1,362,932","4,100,955","99,997","74,887","4,161,153","2,756,130","1,405,023","2,695,573","67,754","42,090","3,569,452","2,510,066","1,059,386","810,489","-266,799","-261,447",3,8,11,1,0,8/26/2011,113,0,113,112,0,112,108,0,108,14,4,3,18,0,19,16,0,20,0,"14,514",0,보험,"16,000",1,0,0,"5,500","5,500","5,000","102,000","118,000","3,550",66,"71,000",2,2
2224,(주)티엠홀딩스,제퍼빈스(ZephyrBeans),커피,2011.05.12,법인,2011.08.28,"458,628","618,343","-159,715","829,923","-37,200","-38,801","361,041","292,157","68,884","2,828,345","232,351","228,598","490,171","365,585","124,586","2,082,540","76,798","55,702",2,4,6,2,0,7/6/2012,14,1,13,5,0,5,4,0,4,0,0,6,0,0,8,0,0,1,0,0,0,예치제,"13,800",0,0,0,"5,500","3,300","5,000","56,100","69,900","2,750",33,"27,500",2,1
2229,르돌치일구사육(주),ledolci1946,커피,2015.05.08,법인,2016.05.23,"529,009","1,061,283","-532,274","734,260","-310,558","-328,132","494,555","1,118,054","-623,499","669,170","43,563","91,224","477,037","1,252,643","-775,606","511,955","-112,366","-152,107",4,5,9,1,0,4/29/2016,5,5,0,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,예치제,"32,500",0,0,0,"22,000","5,500","5,000","177,100","209,600","2,750",99,"82,500",2,1
